first.name,last.name,ID,h.index,i10.index,citations,years.active,tweets,following,followers,username,twitter
Arild,Aakvik,paa1,11,13,364,18,,,,,0
Eline,Aas,paa10,1,0,3,1,,,,,0
Arnstein,Aassve,paa11,11,14,380,16,,,,,0
Susan,Aaronson,paa12,3,1,30,23,,,,,0
Daniel,Aaronson,paa13,19,25,1221,23,,,,,0
David,Aadland,paa2,9,8,358,17,,,,,0
Piia,Remes (née Aatola),paa21,1,0,3,6,,,,,0
Knut Are,Aastveit,paa22,6,6,212,9,,,,,0
Knut,Aase,paa23,6,5,123,31,,,,,0
Paul,Aarts,paa27,1,0,1,1,,,,,0
Rolf,Aaberge,paa6,21,30,1454,27,,,,,0
Rob,Aalbers,paa8,4,2,45,11,,,,,0
Henry,Aaron,paa9,9,9,293,46,,,,,0
Jaap,Abbring,pab1,12,13,1152,23,,,,,0
Andrew,Abel,pab10,27,40,4108,40,,,,,0
Sohrab,Abizadeh,pab101,5,3,61,27,,,,,0
Graziano,Abrate,pab105,6,2,80,13,,,,,0
Jaison,Abel,pab107,7,7,184,16,,,,,0
Ran,Abramitzky,pab108,9,7,242,12,,,,,0
Selamah,Abdullah Yusof,pab110,1,1,12,17,,,,,0
Yasmine,Abdelfattah,pab111,1,0,6,5,,,,,0
M. Shabri,Abd. Majid,pab114,4,1,47,10,,,,,0
Baharom,Abdul Hamid,pab116,3,0,28,9,,,,,0
Oana,Sabie (Abaluta),pab118,1,0,1,9,,,,,0
Ramses,Abul Naga,pab119,4,2,134,26,,,,,0
Muhamed Zulkhibri,Abdul Majid,pab120,4,0,37,15,,,,,0
Klaus,Abberger,pab121,7,6,224,21,,,,,0
Suleiman,Abu-Bader,pab123,7,6,282,16,,,,,0
Jose Miguel,Abito,pab126,1,1,59,3,,,,,0
Ahmed,Abd Ellah,pab127,1,0,8,8,256,1269,163, @profahmhamed ,1
Tilak,Abeysinghe,pab13,9,9,306,25,,,,,0
Laura,Abramovsky,pab130,7,7,239,12,,,,,0
Hisham,Abdelbaki,pab131,2,0,6,1,,,,,0
Vinoj,Abraham,pab133,3,2,47,16,,,,,0
Abdessalem,Abbassi,pab135,1,0,9,7,,,,,0
Sabah,Abdullah,pab136,4,4,105,5,,,,,0
Bakri,Abdul Karim,pab138,2,0,16,2,,,,,0
Joseph,Abdou,pab139,4,0,33,31,,,,,0
Malek,Abdul,pab140,1,0,7,8,,,,,0
Toni,Aburime,pab141,2,0,7,1,,,,,0
Abdul Rahim,Abdul Rahman,pab147,2,0,14,11,,,,,0
Mariani,Abdul-Majid,pab148,3,3,72,1,,,,,0
Yahyaoui,Abdelkarim,pab149,1,0,3,1,,,,,0
Joshua,Abor,pab152,4,2,47,5,,,,,0
Alireza,Abbasi,pab153,3,1,26,1,,,,,0
Hesham,Abdel-Rahman,pab154,7,7,306,17,,,,,0
Anna Lou,Abatayo,pab158,1,0,3,2,,,,,0
Qaisar,Abbas,pab159,1,0,1,1,,,,,0
Zulkefly,Abdul Karim,pab161,2,0,14,7,,,,,0
Sufian,Abedl-Gadir,pab162,1,0,2,1,,,,,0
Degnet,Abebaw Ejigie,pab166,6,2,81,11,,,,,0
Johannes,Abeler,pab169,9,8,402,11,,,,,0
Gianpaolo,Abatecola,pab171,2,0,21,12,,,,,0
Muhamad,Abduh,pab173,1,0,6,1,,,,,0
John,Abowd,pab175,27,47,4286,41,,,,,0
Iskandar,Abdullaev,pab176,3,0,12,5,,,,,0
Awudu,Abdulai,pab179,20,26,1044,25,,,,,0
Abdelaziz,Hakimi,pab180,5,3,126,6,,,,,0
Jennifer,Abel-Koch,pab181,3,2,38,2,,,,,0
Emad,Abdullatif,pab183,1,0,2,1,,,,,0
Kanat,Abdolla,pab184,1,0,3,1,,,,,0
Alexandre,Abreu,pab188,1,0,8,2,,,,,0
George,Abonyi,pab189,1,0,1,7,,,,,0
Klaus,Abbink,pab191,20,28,1389,22,,,,,0
S. M.,Abbas,pab196,7,7,290,11,,,,,0
Burton,Abrams,pab197,9,9,288,41,,,,,0
Pongrapeeporn,Abhakorn,pab198,2,0,12,4,,,,,0
Ilhom,Abdulloev,pab200,4,1,34,4,,,,,0
Ibrahim,Abada,pab202,4,2,50,6,,,,,0
Assem,Abu Hatab,pab206,1,0,3,7,,,,,0
Abdullahi,Abdulkadri,pab210,3,0,25,16,,,,,0
Javad,Abedini,pab211,2,1,25,1,,,,,0
Bekzod,Abdullaev,pab213,1,0,3,3,,,,,0
Babatunde,Abidoye,pab215,3,1,32,6,,,,,0
Yukiko,Abe,pab216,6,4,96,22,,,,,0
Kamel,Abdellah,pab218,1,0,1,1,,,,,0
Saad,Mutashar,pab219,1,0,2,1,,,,,0
Mehdi,Abid,pab220,2,2,40,1,,,,,0
Mohammad,Abu-Zaineh,pab221,3,1,25,9,,,,,0
Megersa,Abate,pab223,3,0,12,1,,,,,0
Istvan,Abel,pab225,5,2,74,35,,,,,0
Mohammed,Abdellaoui,pab230,12,15,1022,20,,,,,0
Abed AL-Nasser,Abdallah,pab232,2,0,9,5,,,,,0
Anna,Abalkina,pab235,1,0,1,8,,,,,0
Brant,Abbott,pab239,3,1,113,10,,,,,0
Manuel,Abdala,pab24,5,2,74,15,,,,,0
Paolo,Abarcar,pab240,2,0,8,22,,,,,0
Shujaat,Abbas,pab241,1,0,2,2,,,,,0
Abdul,Abiad,pab242,12,13,787,13,,,,,0
Azar,Abizada,pab246,2,0,8,3,,,,,0
George,Abuselidze,pab247,1,0,1,7,,,,,0
Girum,Abebe,pab252,3,0,17,6,,,,,0
Kibrom,Abay,pab253,2,0,9,4,,,,,0
Marcelo,Abreu,pab254,5,1,113,41,,,,,0
Doaa,Abdou,pab256,2,0,8,13,,,,,0
Alexander,Abroskin,pab261,1,0,7,4,,,,,0
Zewdu,Abro,pab262,1,1,12,5,,,,,0
Gemma,Abio,pab263,3,2,85,16,,,,,0
Rahi,Abouk,pab265,2,1,26,4,,,,,0
Shahrouz,Abolhosseini,pab271,1,1,23,2,,,,,0
Kseniya,Abanokova,pab272,1,0,3,1,,,,,0
Shaikh,Razak,pab273,5,3,142,4,,,,,0
Hamid,Abdel Hakh,pab274,1,0,2,1,,,,,0
Mohamed,Ariff,pab276,1,0,4,7,,,,,0
Osman,Abbasoglu,pab277,1,1,24,10,,,,,0
Sofiane,Aboura,pab28,5,2,54,13,2036,648,652,@sofianeaboura,1
Cristina,Abad,pab280,1,0,5,8,,,,,0
Gary,Abel,pab281,1,0,2,8,,,,,0
Bassam,Abu Al-Foul,pab283,2,1,30,11,,,,,0
Jan,Abrell,pab286,5,4,130,10,,,,,0
Melaku,Abegaz,pab287,1,0,1,1,,,,,0
Puriya,Abbassi,pab289,7,7,144,8,,,,,0
Esmaiel,Abounoori,pab29,4,0,23,12,,,,,0
Turkhan Ali,Abdul Manap,pab291,2,2,42,13,,,,,0
Hashem,Abouwafia,pab292,1,0,2,1,,,,,0
Kenzo,Abe,pab30,7,6,120,30,,,,,0
Angela,Abbate,pab300,3,1,55,4,,,,,0
Vasif,Abiyev,pab303,1,0,1,2,,,,,0
