first.name,last.name,ID,h.index,i10.index,citations,years.active,tweets,following,followers,username,twitter
Arild,Aakvik,paa1,11,13,364,18,,,,,
Eline,Aas,paa10,1,0,3,1,,,,,
Arnstein,Aassve,paa11,11,14,380,16,,,,,
Susan,Aaronson,paa12,3,1,30,23,,,,,
Daniel,Aaronson,paa13,19,25,1221,23,,,,,
David,Aadland,paa2,9,8,358,17,,,,,
Piia,Remes (née Aatola),paa21,1,0,3,6,,,,,
Knut Are,Aastveit,paa22,6,6,212,9,,,,,
Knut,Aase,paa23,6,5,123,31,,,,,
Paul,Aarts,paa27,1,0,1,1,,,,,
Rolf,Aaberge,paa6,21,30,1454,27,,,,,
Rob,Aalbers,paa8,4,2,45,11,,,,,
Henry,Aaron,paa9,9,9,293,46,,,,,
Jaap,Abbring,pab1,12,13,1152,23,,,,,
Andrew,Abel,pab10,27,40,4108,40,,,,,
Sohrab,Abizadeh,pab101,5,3,61,27,,,,,
Graziano,Abrate,pab105,6,2,80,13,,,,,
Jaison,Abel,pab107,7,7,184,16,,,,,
Ran,Abramitzky,pab108,9,7,242,12,,,,,
Selamah,Abdullah Yusof,pab110,1,1,12,17,,,,,
Yasmine,Abdelfattah,pab111,1,0,6,5,,,,,
M. Shabri,Abd. Majid,pab114,4,1,47,10,,,,,
Baharom,Abdul Hamid,pab116,3,0,28,9,,,,,
Oana,Sabie (Abaluta),pab118,1,0,1,9,,,,,
Ramses,Abul Naga,pab119,4,2,134,26,,,,,
Muhamed Zulkhibri,Abdul Majid,pab120,4,0,37,15,,,,,
Klaus,Abberger,pab121,7,6,224,21,,,,,
Suleiman,Abu-Bader,pab123,7,6,282,16,,,,,
Jose Miguel,Abito,pab126,1,1,59,3,,,,,
Tilak,Abeysinghe,pab13,9,9,306,25,,,,,
Laura,Abramovsky,pab130,7,7,239,12,,,,,
Hisham,Abdelbaki,pab131,2,0,6,1,,,,,
Vinoj,Abraham,pab133,3,2,47,16,,,,,
Abdessalem,Abbassi,pab135,1,0,9,7,,,,,
Sabah,Abdullah,pab136,4,4,105,5,,,,,
Bakri,Abdul Karim,pab138,2,0,16,2,,,,,
Joseph,Abdou,pab139,4,0,33,31,,,,,
Malek,Abdul,pab140,1,0,7,8,,,,,
Toni,Aburime,pab141,2,0,7,1,,,,,
Abdul Rahim,Abdul Rahman,pab147,2,0,14,11,,,,,
Mariani,Abdul-Majid,pab148,3,3,72,1,,,,,
Yahyaoui,Abdelkarim,pab149,1,0,3,1,,,,,
Joshua,Abor,pab152,4,2,47,5,,,,,
Alireza,Abbasi,pab153,3,1,26,1,,,,,
