first.name,last.name,ID,h.index,i10.index,citations,years.active,tweets,following,followers,username
Matteo,Morini,pmo191,1,0,4,11,652,316,171, @_marameo_ 
Stuart,Campbell,pca940,1,1,11,1,2000,725,727, @_stuartcampbell 
Stephen,Williamson,pwi12,18,32,1595,33,"3,963",37,"2,988", @1954swilliamson 
Antonin,Bergeaud,pbe904,4,4,77,4,519,346,270, @a_bergeaud 
Alessandro,Gavazza,pga173,9,9,193,10,711,315,310, @a_gavazza 
Andrea,Guariso,pgu517,3,1,31,5,80,374,150, @a_guariso 
Annamaria,Lusardi,plu347,27,47,4121,27,"9,979",554,"5,988", @a_lusardi 
Andrea,Presbitero,ppr57,15,17,813,14,"14,500",855,"1,394", @a_presbitero 
Aaron,Sojourner,pso238,7,5,96,16,"12,600","1,976","2,146", @aaronsojourner 
Abdelkader,Djeflat,pdj24,1,0,3,32,79,54,52, @abdelkaderdjefl 
Antoine,Belgodere,pbe372,2,0,14,9,"1,879",341,562, @abelgo_optimum 
Alexandre,Berthe,pbe968,1,0,6,4,82,222,56, @aberthep7 
Abhinay,Muthoo,pmu6,11,13,783,30,77,20,133, @abhinaymuthoo 
AntÃ?nio,Moniz,pmo357,2,1,24,28,"1,708","1,393",564, @abmoniz 
Adam,Wagstaff,pwa284,31,60,3483,34,897,112,"1,470", @adamw2011 
Adriana,Camacho,pca400,8,7,269,10,1725,306,"1,735", @adcamach 
Asli,Demirguc-Kunt,pde226,60,125,12474,28,288,68,780, @ademirguckunt 
Ana,Diaz Escobar,pdi179,4,1,44,15,"2,655",697,764, @adiazescobar 
Andreas,Drichoutis,pdr28,9,8,205,15,"11,000","1,206",866, @adrihout 
Andres,Giraldo,pgi58,2,0,13,12,"30,700","1,710",867, @af_giraldo 
Amelie,Constant,pco117,18,28,1047,15,371,338,227, @afconstant299 
Alvaro,Garcia-Marin,pga581,5,3,74,11,509,457,274, @afgarciam 
Martin,De Wit,pde503,2,2,44,15,"2,284","1,032","1,266", @africaeconomist 
Afsin,Sahin,psa1016,3,0,24,9,12,320,87, @afsinsahin 
Andrea,Garnero,pga606,5,4,120,8,"9,956","1,541","2,055", @agarnero 
Alexia,Gaudeul,pga133,4,0,34,12,"3,758",924,460, @agaudeul 
Alejandro,Gaviria,pga134,13,26,913,24,"35,900","1,249","191,000", @agaviriau 
AgnÃ¨s,Benassy-Quere,pbe105,20,34,1336,25,50,47,415, @agnesbq1 
AndrÃ©s,Ham,pha399,2,1,23,11,"2,822",377,307, @ahamg 
Ahmed,Skali,psk106,1,0,3,2,450,301,151, @ahmedskali 
