first.name,last.name,ID,h.index,i10.idex,citations
Ghada,A. Mohamed,pmo299,2,0,14
Bernt,Ødegaard,pod8,6,5,204
Stein,Østbye,pst447,1,0,3
Christian,Østergaard,ppe71,1,0,2
Trino,Ñíguez Grau,pgu249,1,0,4
Cormac,Ó Gráda,pog2,8,7,350
Thorvardur,Ólafsson,pla802,2,1,33
Lopez-de-Foronda,Óscar,psc631,16,21,1530
Hanna,Ågren,pgr181,1,0,5
Robert,Ågren,pgr485,3,2,27
Martin,Ågren,pgr186,5,5,308
Orcan,Çörtük,pco490,3,0,17
Serkan,Çankaya,pca898,1,0,4
Cem,Çebi,peb26,4,0,31
Bogaçhan,Çelen,pce11,5,4,172
Sadullah,Çelik,pel81,3,2,58
Alper,Çenesiz,pce39,2,0,7
Emrah,Çevik,pce160,5,3,85
Muhsin,Çiftçi,pif8,3,0,28
Mehmet,Çolak,pol232,2,0,13
Sadik,Çukur,puk6,1,0,1
Olcay,Çulha,pul59,1,0,2
Damien,Échevin,pec16,5,1,47
Balázs,Égert,pge21,2,1,15
Rafael,Águila,pgu272,28,55,4073
Begoña,Álvarez,plv7,3,0,17
Inmaculada,Álvarez,pal460,4,1,62
Pablo,Álvarez de Toledo,plv13,3,2,45
Brais,Álvarez Pereira,plv21,1,1,20
Óscar,Álvarez San-Jaime,plv17,1,0,2
Xosé Carlos,Álvarez Villamarín,plv12,1,0,3
Mikel,Álvarez-Mozos,pal592,2,0,14
Carlos,Álvarez-Nogal,plv10,5,3,70
László,Árva,par322,1,0,1
Marcos,Ávalos Bracho,pva528,1,0,2
Jorge Luís,Ávila,pvi241,5,3,75
Rolf,Aaberge,paa6,21,30,1454
David,Aadland,paa2,9,8,358
Arild,Aakvik,paa1,11,13,364
Rob,Aalbers,paa8,4,2,45
Henry,Aaron,paa9,9,9,293
Susan,Aaronson,paa12,3,1,30
Daniel,Aaronson,paa13,19,25,1221
Paul,Aarts,paa27,1,0,1
Eline,Aas,paa10,1,0,3
Knut,Aase,paa23,6,5,123
Arnstein,Aassve,paa11,11,14,380
Knut Are,Aastveit,paa22,6,6,212
Christian,Aßmann,pam154,3,1,76
Aled,ab Iorwerth,pab70,1,1,17
Cristina,Abad,pab280,1,0,5
Nicolas,Abad,pab308,1,0,3
Pilar,Abad,pab62,5,2,101
Ibrahim,Abada,pab202,4,2,50
Alberto,Abadie,pab7,19,23,3916
Anna,Abalkina,pab235,1,0,1
Melisa,Abalos Choque,pme514,20,25,2320
Kseniya,Abanokova,pab272,1,0,3
Paolo,Abarcar,pab240,2,0,8
Ignacio,Abasolo,pab338,4,2,50
Anna Lou,Abatayo,pab158,1,0,3
Gashaw,Abate,pab378,3,0,18
Megersa,Abate,pab223,3,0,12
Gianpaolo,Abatecola,pab171,2,0,21
Antonio,Abatemarco,pab43,1,0,8
Kibrom,Abay,pab253,2,0,9
Kaludura,Abayasiri-Silva,pab90,2,0,13
Ali,Abbas,pab34,1,0,1
Qaisar,Abbas,pab159,1,0,1
Shahzad,Abbas,pab366,1,1,23
Shujaat,Abbas,pab241,1,0,2
Syed,Abbas,pab88,2,1,21
Kalbe,Abbas,pab87,3,0,33
Qaisar,Abbas,pab81,3,2,30
Faisal,Abbas,pab93,4,4,96
S. M.,Abbas,pab196,7,7,290
Alireza,Abbasi,pab153,3,1,26
Mohammad Jalal,Abbasi-Shavazi,pab375,2,0,20
Osman,Abbasoglu,pab277,1,1,24
Abdessalem,Abbassi,pab135,1,0,9
Puriya,Abbassi,pab289,7,7,144
Angela,Abbate,pab300,3,1,55
Klaus,Abberger,pab121,7,6,224
Emmanuel,Abbey,pab333,1,0,1
Klaus,Abbink,pab191,20,28,1389
Brant,Abbott,pab239,3,1,113
Michael,Abbott,pab80,3,1,29
Malcolm,Abbott,pab364,7,6,342
Jaap,Abbring,pab1,12,13,1152
Mirko,Abbritti,pab84,7,5,108
M. Shabri,Abd. Majid,pab114,4,1,47
Manuel,Abdala,pab24,5,2,74
Abed AL-Nasser,Abdallah,pab232,2,0,9
Hamid,Abdel Hakh,pab274,1,0,2
Hisham,Abdelbaki,pab131,2,0,6
