first.name,last.name,ID,twitter,h.index,i10.index,citations,tweets,following,followers
Jorge,Abad,pab367, @jrg_abad ,1,1,19,58,489,62
Ahmed,Abd Ellah,pab127, @profahmhamed ,1,0,8,256,"1,269",163
Kim,Abildgren,pab325, @kim_abildgren ,3,0,19,19,0,41
Sofiane,Aboura,pab28, @sofianeaboura ,5,2,54,"2,036",648,652
Daron,Acemoglu,pac16, @DrDaronAcemoglu ,69,173,24873,32,341,"24,100"
Tony,Addison,pad159, @tonysangle ,11,14,373,"43,300","3,977","21,300"
Oluwatobiloba,Adewunmi,pad203, @oluwatobiclay ,11,14,373,624,761,187
Anjali,Adukia,pad164, @aadukia ,1,0,7,7,622,446
Amanda,Agan,pag103, @amandayagan ,2,1,30,521,371,"1,277"
Claudio,Agostini,pag22, @agostini_cl ,6,1,123,"1,723",169,"9,022"
David,Agrawal,pag45, @davidragrawal ,3,1,40,49,364,171
Victor,Aguirregabiria,pag15, @vaguirregabiria ,11,14,878,834,355,309
Alexander,Ahammer,pah166, @ahammeralex ,2,0,6,23,125,47
Olugbenga,Ajilore,paj29, @gbenga_ajilore ,3,1,22,"4,839",791,475
Seyi,Akadiri,pak216, @sainty02 ,1,0,2,112,149,76
K. Ali,Akkemik,pak13, @akkemik ,5,3,86,421,44,152
Cevat Giray,Aksoy,pak156, @cevatgirayaksoy ,1,0,1,"1,274",492,930
Mouawiya,Al Awad,pal278, @mouawiya ,3,2,78,11,7,2
Abdullah,Al-Bahrani,pal867, @teach_econ ,2,0,11,"8,635","1,472","1,927"
Lilia,Aleksanyan,pal649, @laleksanyan ,2,0,9,268,746,416
Mabid,Al-Jarhi,pal663, @maljarhi ,2,0,13,"52,700","9,088","8,360"
Guillaume,AllÌ¬gre,pal370, @g_allegre ,4,0,31,"4,868","1,435","3,748"
CÌ©sar,Alonso-Borrego,pal9, @alonsobcesar ,8,8,575,"5,430",555,360
Adrian,Alter,pal673, @romanianromance ,4,3,214,639,"9,754","12,300"
Guillermo,Alves,pal497, @guillermo_alves ,3,0,22,"11,900","1,215","1,032"
Lykke,Andersen,pan43, @lykkeeandersen ,8,5,245,639,196,348
Soren,Anderson,pan315, @sorentanderson ,10,10,495,151,108,143
David,Andolfatto,pan9, @dandolfa ,13,17,1290,"17,200",631,"8,700"
